id	Feature	ProteomeCounts	ExpectedSwitchFrequency	LostNum	GainNum	fc_g	fc_l	fc_m	p_g	adjp_g	p_l	adjp_l	p_m	adjp_m	switches_g	switches_l
PF00022	PF00022|Actin	126	4.6813870280994685e-4	NA	NA	NA	NA	1.1522725581915623	NA	NA	NA	NA	0.002835158707646988	1.0	NA	NA
PF00023	PF00023|Ankyrin_repeat	560	0.0020806164569330972	260	45	1.3123114712179391	1.504309188464118	0.8929417055911144	0.045011819902193446	1.0	3.8493372231399616e-10	4.215024259338258e-7	0.8457815662385526	1.0	4	10
PF00024	PF00024|PAN_domain	80	2.9723092241901384e-4	114	9	1.8372360597051152	4.61707204767064	1.6149081858057464	0.06165086177227305	1.0	5.067070132430546e-39	6.683465504675891e-36	0.0015391181352922066	1.0	1	1
PF00025	PF00025|ADP-ribosylation_factor_family	208	7.728003982894361e-4	103	0	0.0	1.6044481137316997	0.8474217421361095	1.0	1.0	5.025573158241675e-6	0.004940138414551566	0.9854040776361518	1.0	0	5
PF00026	PF00026|Eukaryotic_aspartyl_protease	38	1.4118468814903158e-4	42	0	0.0	3.5811085134287506	0.7901926600124293	1.0	1.0	6.326971670274895e-12	7.067227355697058e-9	0.9829468367692507	1.0	0	1
PF00027	PF00027|Cyclic_nucleotide-binding_domain	197	7.319311464568216e-4	217	30	2.486952365083066	3.5689897028926127	0.9454767374559375	9.682435292673004e-6	0.012393517174621446	2.7824367194923965e-54	3.775766628351182e-51	0.7105843428895242	1.0	1	5
PF00028	PF00028|Cadherin_domain	3075	0.011424813580480845	382	1323	7.026307662482001	0.4025038418964905	1.6546859705100971	0.0	0.0	1.0	1.0	1.3385342207668249e-124	6.837232799676941e-121	3	10
PF00029	PF00029|Connexin	53	1.969154861025967e-4	NA	NA	NA	NA	0.9197022870291482	NA	NA	NA	NA	0.7465365981946979	1.0	NA	NA
PF00030	PF00030|Beta/Gamma_crystallin	140	5.201541142332743e-4	NA	NA	NA	NA	0.9603723805773868	NA	NA	NA	NA	0.6465779567221236	1.0	NA	NA
PF00031	PF00031|Cystatin_domain	36	1.3375391508855625e-4	NA	NA	NA	NA	1.1622604958994864	NA	NA	NA	NA	0.1909304161945838	1.0	NA	NA
PF00034	PF00034|Cytochrome_c	0	0.0	NA	NA	NA	NA	0.2449243416148074	NA	NA	NA	NA	0.9831423323636143	1.0	NA	NA
PF00035	PF00035|Double-stranded_RNA_binding_motif	296	0.0010997544129503513	25	0	0.0	0.27365291889939775	1.167590705006831	1.0	1.0	1.0	1.0	0.08750895683577267	1.0	0	2
PF00036	PF00036|EF_hand	87	3.2323862813067757e-4	6	0	0.0	0.22345176274268067	1.1759589970713027	1.0	1.0	0.9999996921352772	1.0	0.3173116909422922	1.0	0	1
PF00037	PF00037|4Fe-4S_binding_domain	10	3.715386530237673e-5	NA	NA	NA	NA	0.0	NA	NA	NA	NA	1.0	1.0	NA	NA
PF00038	PF00038|Intermediate_filament_protein	182	6.762003485032565e-4	78	3	0.26919209666009014	1.3885930970438014	1.070218307516701	0.99892956394949906	1.0	0.0033506408194470677	1.0	0.0939677467501357	1.0	1	3
PF00039	PF00039|Fibronectin_type_I_domain	48	1.7833855345140832e-4	NA	NA	NA	NA	1.5640244817916182	NA	NA	NA	NA	0.10088466817110867	1.0	NA	NA
PF00040	PF00040|Fibronectin_type_II_domain	71	2.637924436468748e-4	65	0	0.0	2.966243470210937	1.1534615750468218	1.0	1.0	7.615420104649851e-14	8.704425179614779e-11	0.27477564192019227	1.0	0	2
PF00041	PF00041|Fibronectin_type_III_domain	2575	0.00956712031536201	1275	573	3.6340410346011853	1.6042968791088577	1.3157904129360112	2.08909060676976e-145	2.9894886582875265e-142	4.964558950321241e-56	6.756764731387208e-53	1.8815502011281973e-22	9.59214292535155e-19	10	22
PF00042	PF00042|Globin	36	1.3375391508855625e-4	NA	NA	NA	NA	0.9850406616332362	NA	NA	NA	NA	0.5575759155020676	1.0	NA	NA
PF00043	PF00043|Glutathione_S-transferase,_C-terminal_domain	112	4.161232913866194e-4	32	0	0.0	0.9257287313625343	1.2877038330817658	1.0	1.0	0.6918007422509107	1.0	0.020273488897420817	1.0	0	2
PF00044	PF00044|Glyceraldehyde_3-phosphate_dehydrogenase,_NAD_binding_domain	11	4.0869251832614405e-5	2	0	0.0	0.5891001017761581	0.6798498244094681	1.0	1.0	0.8525958336992672	1.0	0.8569747408405012	1.0	0	1
PF00045	PF00045|Hemopexin	263	9.771466574525082e-4	154	0	0.0	1.8972159171270184	1.2158821460707863	1.0	1.0	4.0823945122133043e-13	4.6090234042888204e-10	0.020071619290035588	1.0	0	3
PF00046	PF00046|Homeobox_domain	589	0.0021883626663099895	195	35	0.9704321764146995	1.0726822736076904	1.394786804996281	0.5929235529870032	1.0	0.17221908573444508	1.0	6.799370519302382e-9	3.4493206644420986e-5	2	7
PF00047	PF00047|Immunoglobulin_domain	216	8.025234905313374e-4	6	0	0.0	0.09000140443802415	1.38472711097281	1.0	1.0	1.0	1.0	0.002609723108103157	1.0	0	2
PF00048	PF00048|Small_cytokines_(intecrine/chemokine),_interleukin-8_like	116	4.309848375075701e-4	18	3	0.42235311717358964	0.5027664661710315	1.3021638721881923	0.9726062887750391	1.0	0.9996214707603215	1.0	0.0034155294685841615	1.0	1	2
PF00049	PF00049|Insulin/IGF/Relaxin_family	48	1.7833855345140832e-4	79	20	6.804577998907833	5.332583212952931	1.2705403707225742	5.7983308906859205e-11	7.717578415502961e-8	1.5030023082283026e-31	1.9343639706898254e-28	0.20157026741645187	1.0	1	2
PF00050	PF00050|Kazal-type_serine_protease_inhibitor_domain	49	1.82053939981646e-4	28	0	0.0	1.8514574627250686	1.1645912321880547	1.0	1.0	0.0019205125300544525	1.0	0.2496861074212075	1.0	0	2
PF00051	PF00051|Kringle_domain	157	5.833156852473147e-4	22	0	0.0	0.4540198236618798	1.4509044554247184	1.0	1.0	0.9999925223818131	1.0	1.3420102073389542e-4	0.6714077067316788	0	2
PF00052	PF00052|Laminin_B_(Domain_IV)	44	1.6347700733045762e-4	63	0	0.0	4.639163301487246	1.4848538210397697	1.0	1.0	1.881895013473266e-22	2.3241403416394833e-19	0.0050209533791989456	1.0	0	2
PF00053	PF00053|Laminin_EGF-like_(Domains_III_and_V)	850	0.003158078550702022	812	0	0.0	3.0952012406262615	1.0830837095049581	1.0	1.0	6.253929767858935e-163	8.9243577787347e-160	0.09614418937401756	1.0	0	5
PF00054	PF00054|Laminin_G_domain	147	5.46161819944938e-4	42	49	5.443662399126266	0.9257287313625341	1.0175516987283546	1.357463663236009e-20	1.8515804366539165e-17	0.7115659488582213	1.0	0.44510361135315485	1.0	2	1
PF00055	PF00055|Laminin_N-terminal_(Domain_VI)	63	2.3406935140497342e-4	62	0	0.0	3.1886211858042843	1.1135465336133297	1.0	1.0	1.3086936524625294e-14	1.5141585558991464e-11	0.1319652804724102	1.0	0	3
PF00056	PF00056|lactate/malate_dehydrogenase,_NAD_binding_domain	59	2.1920780528402272e-4	2	0	0.0	0.10983222236504643	0.8067717079328821	1.0	1.0	0.9999997631812938	1.0	0.8888135991010508	1.0	0	1
PF00057	PF00057|Low-density_lipoprotein_receptor_domain_class_A	1017	0.0037785481012517137	451	149	2.3926421754271794	1.4368365805858017	1.0509764759806748	7.212139284416863e-21	9.851782262513434e-18	1.959385218179333e-13	2.2336991487244395e-10	0.2472803487940734	1.0	2	4
PF00058	PF00058|Low-density_lipoprotein_receptor_repeat_class_B	585	0.002173501120189039	217	0	0.0	1.2018649084954611	0.8919258447201348	1.0	1.0	0.0045521494644863115	1.0	0.9045575834088997	1.0	0	2
PF00059	PF00059|Lectin_C-type_domain	646	0.002400139698533537	145	9	0.22752149346193373	0.7272559305982756	1.130412398098021	0.9999999988124884	1.0	0.9999775978085294	1.0	0.009652272523166165	1.0	3	5
PF00060	PF00060|Ligand-gated_ion_channel	46	1.7090778039093298e-4	5	5	1.7751073040629128	0.35217940867052927	1.7692015562602486	0.15492306614955373	1.0	0.9984406790903377	1.0	5.155860759605133e-9	2.6160837494236443e-5	1	1
PF00061	PF00061|Lipocalin_/_cytosolic_fatty-acid_binding_protein_family	54	2.0063087263283435e-4	NA	NA	NA	NA	1.063688401011263	NA	NA	NA	NA	0.28279606427168863	1.0	NA	NA
PF00062	PF00062|C-type_lysozyme/alpha-lactalbumin_family	0	0.0	NA	NA	NA	NA	0.7962653031779389	NA	NA	NA	NA	0.7505994382489367	1.0	NA	NA
PF00063	PF00063|Myosin_head_(motor_domain)	188	6.984926676846826e-4	83	0	0.0	1.4304478535149796	0.9328877293836029	1.0	1.0	0.0011771546059396365	1.0	0.9541528084544704	1.0	0	5
PF00066	PF00066|LNR_domain	118	4.3841561056804545e-4	NA	NA	NA	NA	0.8399853720081285	NA	NA	NA	NA	0.793971105338749	1.0	NA	NA
PF00067	PF00067|Cytochrome_P450	295	0.0010960390264201135	0	28	1.5500598017851066	0.0	1.1002124930155914	0.017970326152789234	1.0	1.0	1.0	0.0060616802125582825	1.0	1	0
PF00068	PF00068|Phospholipase_A2	23	8.545389019546649e-5	6	2	1.4200858432503305	0.8452305808092703	1.0497987346341933	0.41105792201441493	1.0	0.7117247502288956	1.0	0.4565846411023563	1.0	1	1
PF00069	PF00069|Protein_kinase_domain	2918	0.01084149789523353	786	189	1.0577644209405734	0.8727483687382904	0.9967899539325353	0.22832711324806493	1.0	0.9999587086122284	1.0	0.5778207642513121	1.0	11	41
PF00070	PF00070|Pyridine_nucleotide-disulphide_oxidoreductase	75	2.786539897678255e-4	35	7	1.5242254717553547	1.5120235945588059	0.7518702570498168	0.18095370150930118	1.0	0.012853070826763692	1.0	0.9161922966719857	1.0	1	1
PF00071	PF00071|Ras_family	823	0.003057763114385605	237	136	2.6986807519362297	0.9330400761424327	1.4159217863505258	1.501967561484373e-23	2.0591975267950753e-20	0.864916373817805	1.0	3.8170902108841045e-30	1.9478611346141587e-26	3	10
PF00072	PF00072|Response_regulator_receiver_domain	21	7.802311713499114e-5	88	0	0.0	13.5773547266505	1.5494126828241077	1.0	1.0	2.2868452092851986e-66	3.146699007976433e-63	0.06789601543660409	1.0	0	1
PF00074	PF00074|Pancreatic_ribonuclease	41	1.5233084773974461e-4	NA	NA	NA	NA	1.1055083290654157	NA	NA	NA	NA	0.32329450538351073	1.0	NA	NA
PF00075	PF00075|RNase_H	5	1.8576932651188365e-5	NA	NA	NA	NA	1.0109643036866518	NA	NA	NA	NA	0.5438154234434973	1.0	NA	NA
PF00076	PF00076|RNA_recognition_motif._(a.k.a._RRM,_RBD,_or_RNP_domain)	2094	0.007780019394317688	1104	6	0.04679365959134327	1.7082214985600916	1.018788016383183	1.0	1.0	9.137007029533526e-61	1.251769963046093e-57	0.323914949961467	1.0	1	42
PF00078	PF00078|Reverse_transcriptase_(RNA-dependent_DNA_polymerase)	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PF00079	PF00079|Serpin_(serine_protease_inhibitor)	195	7.245003733963463e-4	NA	NA	NA	NA	1.2624844082270505	NA	NA	NA	NA	3.8111767403530323e-6	0.019223575478340693	NA	NA
PF00080	PF00080|Copper/zinc_superoxide_dismutase_(SODC)	33	1.2260775549784321e-4	NA	NA	NA	NA	0.7267049288853462	NA	NA	NA	NA	0.9041841604061328	1.0	NA	NA
PF00081	PF00081|Iron/manganese_superoxide_dismutases,_alpha-hairpin_domain	11	4.0869251832614405e-5	0	7	10.392446398331964	0.0	NA	6.935203528695649e-6	0.00891173653437391	1.0	1.0	NA	NA	1	0
PF00082	PF00082|Subtilase_family	65	2.4150012446544876e-4	47	0	0.0	2.3428057893713365	1.1051056617695512	1.0	1.0	2.0639139335397764e-7	2.1196396097453504e-4	0.14872420502687522	1.0	0	4
PF00083	PF00083|Sugar_(and_other)_transporter	191	7.096388272753956e-4	16	16	1.368040812345868	0.27141784793875345	0.8022040623295571	0.13431880855135359	1.0	0.9999999999909122	1.0	0.9999461774355233	1.0	1	2
PF00084	PF00084|Sushi_domain_(SCR_repeat)	1534	0.005699402937384591	172	0	0.0	0.36329119705361507	1.5548207550154658	1.0	1.0	1.0	1.0	3.663832423250012e-24	1.8681881526151813e-20	0	6
PF00085	PF00085|Thioredoxin	308	0.0011443390513132033	71	9	0.4772041713519779	0.7468947718947719	0.8976342759196633	0.9957980223245232	1.0	0.9956628266448982	1.0	0.9074577626553189	1.0	1	3
PF00086	PF00086|Thyroglobulin_type-1_repeat	132	4.904310219913729e-4	19	0	0.0	0.4663709139061252	1.4379637003753563	1.0	1.0	0.9999475630722072	1.0	0.0025212043800984705	1.0	0	1
PF00088	PF00088|Trefoil_(P-type)_domain	11	4.0869251832614405e-5	NA	NA	NA	NA	1.529463163302767	NA	NA	NA	NA	0.07380485744221295	1.0	NA	NA
PF00089	PF00089|Trypsin	531	0.0019728702475562045	54	51	1.5685128946635005	0.3294966670951393	1.125217387425638	0.0016124777345392055	1.0	1.0	1.0	0.001445963304892312	1.0	2	3
PF00090	PF00090|Thrombospondin_type_1_domain	1141	0.004239256031001185	272	187	2.676507104215456	0.7723871623638322	1.5068725156098772	2.5079747762557473e-31	3.4760530398904657e-28	0.999996260612616	1.0	1.6377928910437976e-16	8.342916986977105e-13	5	9
PF00091	PF00091|Tubulin/FtsZ_family,_GTPase_domain	179	6.650541889125435e-4	36	0	0.0	0.6516302801769794	1.0099224752144769	1.0	1.0	0.9976082889325558	1.0	0.45722948680244174	1.0	0	2
PF00092	PF00092|von_Willebrand_factor_type_A_domain	451	0.0016756393251371906	54	22	0.7966335218233561	0.38794396946234805	1.0929226424326548	0.8808340876769238	1.0	1.0	1.0	0.04874821482389352	1.0	2	6
PF00093	PF00093|von_Willebrand_factor_type_C_domain	344	0.0012780929664017596	653	0	0.0	6.150444812584511	1.042343692740538	1.0	1.0	6.544333901463132e-281	9.391119148599595e-278	0.3391761995059396	1.0	0	5
PF00094	PF00094|von_Willebrand_factor_type_D_domain	74	2.7493860323758783e-4	0	5	1.1034450809039729	0.0	0.8068105161695431	0.47383373221439734	1.0	1.0	1.0	0.996631236668759	1.0	1	0
PF00095	PF00095|WAP-type_(Whey_Acidic_Protein)_'four-disulfide_core'	36	1.3375391508855625e-4	0	10	4.536385332605222	0.0	1.9653539626414473	1.0235094161473522e-4	0.12937159020102532	1.0	1.0	2.4869905202701937e-4	1.0	1	0
PF00096	PF00096|Zinc_finger,_C2H2_type	2913	0.010822920962582342	226	256	1.4351983256192835	0.25137364452721067	1.0143801298378923	2.318233718011573e-8	3.05079557290323e-5	1.0	1.0	0.40031666141429223	1.0	10	12
PF00097	PF00097|Zinc_finger,_C3HC4_type_(RING_finger)	337	0.0012520852606900958	126	0	0.0	1.211413562406165	0.8970797156690868	1.0	1.0	0.019827778671266467	1.0	0.8158518588123664	1.0	0	10
PF00098	PF00098|Zinc_knuckle	253	9.399927921501314e-4	127	17	1.0973390606934372	1.6264285418602626	0.8775917042556952	0.3837509841833407	1.0	2.2930019392103436e-7	2.3503269876906023e-4	0.7216393522925677	1.0	2	4
PF00100	PF00100|Zona_pellucida-like_domain	78	2.898001493585385e-4	0	23	4.81554750691939	0.0	1.0012274581075913	1.6721300187183916e-9	2.212228014764432e-6	1.0	1.0	0.5115358082987533	1.0	1	0
PF00102	PF00102|Protein-tyrosine_phosphatase	421	0.0015641777292300604	0	63	2.443829438087564	0.0	1.166043551905204	4.167419473740067e-10	5.530165641653068e-7	1.0	1.0	5.838362626247314e-4	1.0	2	0
PF00103	PF00103|Somatotropin_hormone_family	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PF00104	PF00104|Ligand-binding_domain_of_nuclear_hormone_receptor	375	0.0013932699488391274	57	0	0.0	0.49248768508486823	0.9393803197604377	1.0	1.0	0.9999999994876438	1.0	0.8603863340462861	1.0	0	6
PF00105	PF00105|Zinc_finger,_C4_type_(two_domains)	354	0.0013152468317041363	90	0	0.0	0.8237416677378482	1.188099074845424	1.0	1.0	0.9736084958208451	1.0	0.0326193605364483	1.0	0	7
PF00106	PF00106|short_chain_dehydrogenase	335	0.0012446544876296205	53	101	4.923670766970922	0.5126050139335824	0.6909176857899658	4.412119543940099e-37	6.163731002884318e-34	0.9999999829220045	1.0	0.999999982614407	1.0	5	4
PF00107	PF00107|Zinc-binding_dehydrogenase	149	5.535925930054133e-4	NA	NA	NA	NA	0.8659872524704965	NA	NA	NA	NA	0.8938471313760462	1.0	NA	NA
PF00108	PF00108|Thiolase,_N-terminal_domain	56	2.080616456933097e-4	4	0	0.0	0.23143218284063358	0.8469666809847591	1.0	1.0	0.9999679879799304	1.0	0.888631392798835	1.0	0	1
PF00109	PF00109|Beta-ketoacyl_synthase,_N-terminal_domain	22	8.173850366522881e-5	41	0	0.0	6.038276043205621	1.126651971428114	1.0	1.0	5.089071584759936e-19	6.127242188050963e-16	0.31187683920173653	1.0	0	1
PF00110	PF00110|wnt_family	73	2.7122321670735016e-4	NA	NA	NA	NA	1.0863589485699547	NA	NA	NA	NA	0.13914982190483996	1.0	NA	NA
PF00111	PF00111|2Fe-2S_iron-sulfur_cluster_binding_domain	20	7.430773060475346e-5	17	0	0.0	2.7540429758035394	1.4285440246149612	1.0	1.0	2.4146361622044075e-4	0.2228709177714668	0.10366678403708067	1.0	0	1
PF00112	PF00112|Papain_family_cysteine_protease	107	3.9754635873543104e-4	0	19	2.899894922899039	0.0	0.8374120783817908	5.5779308883387566e-5	0.0708397222819022	1.0	1.0	0.9653547097593391	1.0	1	0
PF00113	PF00113|Enolase,_C-terminal_TIM_barrel_domain	33	1.2260775549784321e-4	NA	NA	NA	NA	0.6324377385910132	NA	NA	NA	NA	0.9927720098368218	1.0	NA	NA
PF00117	PF00117|Glutamine_amidotransferase_class-I	47	1.7462316692117065e-4	NA	NA	NA	NA	0.9061711666070174	NA	NA	NA	NA	0.7366710786435072	1.0	NA	NA
PF00118	PF00118|TCP-1/cpn60_chaperonin_family	135	5.015771815820859e-4	53	0	0.0	1.2720198493907413	0.7758234220027411	1.0	1.0	0.050725265328740256	1.0	0.9999448091413667	1.0	0	1
PF00120	PF00120|Glutamine_synthetase,_catalytic_domain	14	5.201541142332742e-5	NA	NA	NA	NA	1.5247813971509356	NA	NA	NA	NA	0.03448372881725356	1.0	NA	NA
PF00121	PF00121|Triosephosphate_isomerase	11	4.0869251832614405e-5	NA	NA	NA	NA	1.3031628471572665	NA	NA	NA	NA	0.20614233522015574	1.0	NA	NA
PF00122	PF00122|E1-E2_ATPase	214	7.950927174708621e-4	190	22	1.6788865343099701	2.876680403533108	1.0563806873168562	0.015217584145518258	1.0	1.7662943326182708e-35	2.3050141040668435e-32	0.20028384640906902	1.0	1	9
PF00123	PF00123|Peptide_hormone	16	5.944618448380277e-5	NA	NA	NA	NA	1.073976462341094	NA	NA	NA	NA	0.5289631451163316	1.0	NA	NA
PF00125	PF00125|Core_histone_H2A/H2B/H3/H4	192	7.133542138056333e-4	43	34	2.8919456495358293	0.7256363232815697	1.5883830255425742	9.599746613541012e-8	1.253726907728456e-4	0.9884530701638035	1.0	1.369605900003973e-9	6.9534891543201715e-6	2	3
PF00128	PF00128|Alpha_amylase,_catalytic_domain	54	2.0063087263283435e-4	0	2	0.6048513776806963	0.0	1.4094866562777217	0.8422315720933654	1.0	1.0	1.0	0.0031247707127277347	1.0	1	0
PF00129	PF00129|Class_I_Histocompatibility_antigen,_domains_alpha_1_and_2	163	6.056080044287408e-4	8	11	1.1020911605593056	0.15902088636902426	1.955915587696193	0.4145856433455372	1.0	0.9999999999999738	1.0	2.0587871355012417e-21	1.049363802964983e-17	3	2
PF00130	PF00130|Phorbol_esters/diacylglycerol_binding_domain_(C1_domain)	452	0.0016793547116674284	208	51	1.842655635102475	1.4909967177697452	0.8508901851031977	4.4777125409064584e-5	0.056911726394921085	3.664545717186816e-8	3.811127545874289e-5	0.9480761030886669	1.0	2	7
PF00131	PF00131|Metallothionein	39	1.4490007467926925e-4	0	19	7.9561219679537745	0.0	0.7120824863841948	1.2946902205130379e-11	1.7271167541643927e-8	1.0	1.0	0.93583787111582	1.0	1	0
PF00132	PF00132|Bacterial_transferase_hexapeptide_(six_repeats)	33	1.2260775549784321e-4	29	0	0.0	2.8473171585847643	0.7622778974321814	1.0	1.0	1.0885941088429075e-6	0.0010907712970605933	0.796680522746136	1.0	0	1
PF00133	PF00133|tRNA_synthetases_class_I_(I,_L,_M_and_V)	99	3.6782326649352964e-4	127	0	0.0	4.156428495865116	0.8572854115264468	1.0	1.0	8.927000014643799e-39	1.1739005019256595e-35	0.9558433036113336	1.0	0	2
PF00134	PF00134|Cyclin,_N-terminal_domain	260	9.66000497861795e-4	160	0	0.0	1.9938772675500736	0.7309952211842653	1.0	1.0	2.9121686887444644e-15	3.3955886910760453e-12	0.9996878718846216	1.0	0	7
PF00135	PF00135|Carboxylesterase_family	105	3.901155856749557e-4	13	0	0.0	0.40114911692376476	1.290614160026943	1.0	1.0	0.9999635178664845	1.0	3.2173530634930642e-6	0.016234763558386003	0	1
PF00136	PF00136|DNA_polymerase_family_B	34	1.2632314202808088e-4	18	0	0.0	1.7153208845835193	0.7525989172352722	1.0	1.0	0.021742437223152052	1.0	0.961699942541922	1.0	0	1
PF00137	PF00137|ATP_synthase_subunit_C	77	2.8608476282830083e-4	10	0	0.0	0.4207857869829701	0.8447168404137357	1.0	1.0	0.9995057347690648	1.0	0.7813782957602016	1.0	0	1
PF00143	PF00143|Interferon_alpha/beta_domain	0	0.0	NA	NA	NA	NA	1.371113706731372	NA	NA	NA	NA	0.3025073533286225	1.0	NA	NA
PF00144	PF00144|Beta-lactamase	22	8.173850366522881e-5	NA	NA	NA	NA	0.7008159627326348	NA	NA	NA	NA	0.902751454806481	1.0	NA	NA
PF00145	PF00145|C-5_cytosine-specific_DNA_methylase	37	1.3746930161879391e-4	4	0	0.0	0.35027573619122915	0.9392511449081604	1.0	1.0	0.9964245612144872	1.0	0.6715916509707868	1.0	0	1
PF00147	PF00147|Fibrinogen_beta_and_gamma_chains,_C-terminal_globular_domain	128	4.755694758704222e-4	9	0	0.0	0.22781605498374866	1.2096942100123413	1.0	1.0	0.9999999987320142	1.0	0.007111578471739913	1.0	0	1
PF00149	PF00149|Calcineurin-like_phosphoesterase	202	7.5050807910801e-4	64	0	0.0	1.0265506724020181	0.8045288901133374	1.0	1.0	0.43369223097153	1.0	0.9975272441087528	1.0	0	2
PF00151	PF00151|Lipase	40	1.4861546120950692e-4	NA	NA	NA	NA	1.4238665308210368	NA	NA	NA	NA	8.206817480396735e-4	1.0	NA	NA
PF00152	PF00152|tRNA_synthetases_class_II_(D,_K_and_N)	42	1.5604623426998228e-4	NA	NA	NA	NA	0.7154295683191618	NA	NA	NA	NA	0.9956926181049692	1.0	NA	NA
PF00153	PF00153|Mitochondrial_carrier_protein	1183	0.004395302265271167	514	0	0.0	1.4077649938471675	0.826408139608672	1.0	1.0	1.0767493160058499e-13	1.2285709695626748e-10	0.999967022436117	1.0	0	18
PF00155	PF00155|Aminotransferase_class_I_and_II	126	4.6813870280994685e-4	28	0	0.0	0.7200112355041933	0.9837163347516336	1.0	1.0	0.9713131629781206	1.0	0.6024504150643768	1.0	0	1
PF00156	PF00156|Phosphoribosyl_transferase_domain	31	1.1517698243736788e-4	NA	NA	NA	NA	0.5054821518433259	NA	NA	NA	NA	0.9970753648029327	1.0	NA	NA
