Symbol	Switch	Group	Tissue	NumSwitched
EIF4H	uc003uae.1-uc003uaf.1	Interaction with driver	lusc	8
EIF4H	uc003uae.1-uc003uaf.1	Interaction with driver	luad	18
EIF4H	uc003uae.1-uc003uaf.1	Interaction with driver	kirc	49
EIF4H	uc003uae.1-uc003uaf.1	Interaction with driver	kirp	26
EIF4H	uc003uae.1-uc003uaf.1	Interaction with driver	coad	14
NLK	uc010crj.2-uc010cri.1	Interaction with driver	hnsc	3
CTCF	uc002etl.2-uc002etm.1	Interaction between drivers	kich	11
CTCF	uc002etl.2-uc002etm.1	Interaction between drivers	lusc	7
CTCF	uc002etl.2-uc002etm.1	Interaction between drivers	prad	4
CTCF	uc002etl.2-uc002etm.1	Interaction between drivers	luad	8
CTCF	uc002etl.2-uc002etm.1	Interaction between drivers	coad	37
CTCF	uc002etl.2-uc002etm.1	Interaction between drivers	brca	7
DHX15	uc003gqx.2-uc003gqv.2	Interaction between drivers	prad	5
DHX15	uc003gqx.2-uc003gqv.2	Interaction between drivers	brca	5
DST	uc003pcv.3-uc003pcz.3	Interaction with driver	kich	2
ENOX1	uc001uzb.3-uc001uyz.3	Interaction with driver	kich	2
ENOX1	uc001uzb.3-uc001uyz.3	Interaction with driver	lusc	7
ENOX1	uc001uzb.3-uc001uyz.3	Interaction with driver	prad	6
ZEB2	uc002tvu.2-uc010fnp.2	Interaction with driver	kirc	26
SFRS3	uc003omj.2-uc003omk.2	Interaction between drivers	kirc	11
SFRS3	uc003omj.2-uc003omk.2	Interaction between drivers	kirp	5
BTK	uc004ehg.2-uc010nnk.2	Interaction with driver	hnsc	3
RPS6KB2	uc001old.2-uc001ole.2	Interaction with driver	coad	3
CFLAR	uc002uxd.3-uc002uxe.2	Driver	luad	17
KLHDC5	uc001rij.2-uc009zjj.2	Interaction with driver	lihc	6
KLHDC5	uc001rij.2-uc009zjj.2	Interaction with driver	luad	10
KLHDC5	uc001rij.2-uc009zjj.2	Interaction with driver	hnsc	3
KLHDC5	uc001rij.2-uc009zjj.2	Interaction with driver	coad	3
UBE2D3	uc003hwh.2-uc003hwp.2	Interaction with driver	lusc	17
GAK	uc003gbm.3-uc003gbk.3	Interaction with driver	kirc	23
GAK	uc003gbm.3-uc003gbk.3	Interaction with driver	kirp	23
GAK	uc003gbm.3-uc003gbk.3	Interaction with driver	brca	7
TPM3	uc001fed.1-uc009wor.2	Interaction between drivers	kich	2
ZHX1	uc003yqe.2-uc003yqg.2	Interaction with driver	kich	8
ZHX1	uc003yqe.2-uc003yqg.2	Interaction with driver	lusc	7
ZHX1	uc003yqe.2-uc003yqg.2	Interaction with driver	kirc	5
ZHX1	uc003yqe.2-uc003yqg.2	Interaction with driver	brca	6
UBE2D3	uc003hwh.2-uc011ceu.1	Interaction with driver	luad	9
RERE	uc001apd.2-uc001apf.2	Interaction with driver	brca	16
MACF1	uc001cdf.1-uc010ois.1	Driver	kich	5
MACF1	uc001cdf.1-uc010ois.1	Driver	lusc	5
PSPC1	uc001uml.2-uc001umk.1	Interaction with driver	prad	10
PSPC1	uc001uml.2-uc001umk.1	Interaction with driver	kirc	7
PSPC1	uc001uml.2-uc001umk.1	Interaction with driver	kirp	6
PSPC1	uc001uml.2-uc001umk.1	Interaction with driver	thca	4
NFIB	uc003zle.2-uc003zld.2	Driver	kich	10
NFIB	uc003zle.2-uc003zld.2	Driver	lusc	3
NFIB	uc003zle.2-uc003zld.2	Driver	prad	12
NFIB	uc003zle.2-uc003zld.2	Driver	kirc	33
NFIB	uc003zle.2-uc003zld.2	Driver	hnsc	9
NFIB	uc003zle.2-uc003zld.2	Driver	kirp	5
CYTH1	uc002jvw.2-uc010wtv.1	Interaction with driver	lusc	15
CYTH1	uc002jvw.2-uc010wtv.1	Interaction with driver	prad	16
CYTH1	uc002jvw.2-uc010wtv.1	Interaction with driver	kirc	28
CYTH1	uc002jvw.2-uc010wtv.1	Interaction with driver	hnsc	32
CYTH1	uc002jvw.2-uc010wtv.1	Interaction with driver	kirp	11
CYTH1	uc002jvw.2-uc010wtv.1	Interaction with driver	brca	11
CDKN2B	uc003zpo.2-uc003zpn.2	Interaction between drivers	kirp	5
UBE2E2	uc003ccg.2-uc010hfc.2	Interaction with driver	lihc	7
UBE2E2	uc003ccg.2-uc010hfc.2	Interaction with driver	hnsc	10
UBE2E2	uc003ccg.2-uc010hfc.2	Interaction with driver	kirp	9
UBE2E2	uc003ccg.2-uc010hfc.2	Interaction with driver	brca	11
YWHAE	uc002fsj.2-uc010vqi.1	Interaction between drivers	kich	3
YWHAE	uc002fsj.2-uc010vqi.1	Interaction between drivers	kirc	14
MLH1	uc003cgl.2-uc010hgp.2	Interaction between drivers	prad	9
MLH1	uc003cgl.2-uc010hgp.2	Interaction between drivers	hnsc	5
MLH1	uc003cgl.2-uc010hgp.2	Interaction between drivers	kirp	8
RAD51L3	uc002hir.2-uc010ctj.2	Interaction with driver	kirp	3
SF3B4	uc001etj.1-uc001eti.1	Interaction with driver	prad	16
SF3B4	uc001etj.1-uc001eti.1	Interaction with driver	kirc	5
SF3B4	uc001etj.1-uc001eti.1	Interaction with driver	hnsc	15
SF3B4	uc001etj.1-uc001eti.1	Interaction with driver	kirp	4
APAF1	uc001tfz.2-uc001tgc.2	Driver	kirc	7
NPHS1	uc002oby.2-uc010eem.1	Interaction with driver	kirp	2
GHR	uc003jmt.2-uc011cpq.1	Interaction with driver	kich	5
GHR	uc003jmt.2-uc011cpq.1	Interaction with driver	coad	5
MEOX1	uc002ieb.2-uc002iea.2	Interaction with driver	kich	5
DVL1	uc001aer.3-uc009vka.2	Interaction with driver	hnsc	3
MAP4K4	uc002tbf.2-uc002tbl.2	Interaction with driver	kich	6
MAP4K4	uc002tbf.2-uc002tbl.2	Interaction with driver	lusc	3
MAP4K4	uc002tbf.2-uc002tbl.2	Interaction with driver	prad	12
AP3B2	uc010uog.1-uc010bmp.2	Interaction with driver	kich	2
AP3B2	uc010uog.1-uc010bmp.2	Interaction with driver	prad	4
AP3B2	uc010uog.1-uc010bmp.2	Interaction with driver	kirc	4
AP3B2	uc010uog.1-uc010bmp.2	Interaction with driver	kirp	7
AP3B2	uc010uog.1-uc010bmp.2	Interaction with driver	thca	7
CASP8	uc002uxn.2-uc010ftf.2	Interaction between drivers	kirp	3
NAP1L4	uc001lxc.2-uc009ydt.2	Interaction with driver	kirc	17
HERC1	uc002amp.2-uc002amo.2	Interaction with driver	kich	5
TAF1	uc004dzt.3-uc004dzv.3	Driver	kich	17
ARHGAP17	uc002dnc.2-uc002dne.1	Interaction with driver	hnsc	7
EIF4B	uc010snu.1-uc010snv.1	Interaction with driver	kirp	2
FGFR1	uc011lbq.1-uc010lwf.2	Interaction between drivers	coad	4
PHF1	uc003oeh.2-uc011drh.1	Interaction with driver	kirp	3
SEPT5	uc002zpv.1-uc002zpw.1	Interaction between drivers	lusc	3
SEPT5	uc002zpv.1-uc002zpw.1	Interaction between drivers	luad	12
SEPT5	uc002zpv.1-uc002zpw.1	Interaction between drivers	hnsc	12
DOM3Z	uc003nyp.1-uc003nys.1	Interaction with driver	hnsc	3
KPNB1	uc002ilt.1-uc010wkx.1	Interaction with driver	lusc	6
KPNB1	uc002ilt.1-uc010wkx.1	Interaction with driver	prad	5
KPNB1	uc002ilt.1-uc010wkx.1	Interaction with driver	luad	8
KPNB1	uc002ilt.1-uc010wkx.1	Interaction with driver	brca	36
CSNK1D	uc002keg.1-uc002kei.2	Interaction with driver	lusc	9
CSNK1D	uc002keg.1-uc002kei.2	Interaction with driver	luad	91
CSNK1D	uc002keg.1-uc002kei.2	Interaction with driver	kirc	10
CSNK1D	uc002keg.1-uc002kei.2	Interaction with driver	brca	8
CCNE1	uc002nso.2-uc002nsp.2	Interaction between drivers	prad	6
CCNE1	uc002nso.2-uc002nsp.2	Interaction between drivers	kirc	10
CCNE1	uc002nso.2-uc002nsp.2	Interaction between drivers	thca	5
TENC1	uc001sbq.2-uc001sbs.2	Interaction with driver	kirc	4
BRCA1	uc010whm.1-uc010who.1	Interaction between drivers	hnsc	5
VAMP4	uc001ghx.1-uc001ghv.1	Interaction with driver	kirp	17
FSTL3	uc002lpk.1-uc010drt.1	Driver	kich	5
GNAS	uc002xzx.2-uc002xzt.2	Interaction between drivers	kirc	10
HSPA14	uc001inf.2-uc001ind.2	Interaction with driver	hnsc	5
BCAR1	uc010vnd.1-uc002fdt.2	Interaction with driver	prad	4
UBC	uc001ugs.3-uc001ugr.2	Interaction with driver	kich	2
UBC	uc001ugs.3-uc001ugr.2	Interaction with driver	hnsc	6
UBC	uc001ugs.3-uc001ugr.2	Interaction with driver	thca	5
UBC	uc001ugs.3-uc001ugr.2	Interaction with driver	brca	7
GFAP	uc002ihq.2-uc010wjg.1	Interaction with driver	kirp	2
TFDP1	uc001vtw.2-uc001vtv.2	Interaction between drivers	hnsc	5
UBR5	uc003ykr.1-uc003ykq.2	Driver	kich	3
ATR	uc003eux.3-uc003euy.1	Driver	prad	4
ATR	uc003eux.3-uc003euy.1	Driver	luad	10
ATR	uc003eux.3-uc003euy.1	Driver	kirc	43
ATR	uc003eux.3-uc003euy.1	Driver	kirp	8
ATR	uc003eux.3-uc003euy.1	Driver	coad	3
ITCH	uc002xak.2-uc010zuj.1	Interaction with driver	kich	5
ITCH	uc002xak.2-uc010zuj.1	Interaction with driver	lusc	3
ITCH	uc002xak.2-uc010zuj.1	Interaction with driver	kirc	5
LIF	uc003agz.2-uc011aks.1	Interaction with driver	kirc	13
LIF	uc003agz.2-uc011aks.1	Interaction with driver	kirp	39
TREML1	uc003opx.2-uc011dud.1	Interaction with driver	brca	6
USP7	uc002czl.2-uc002czj.2	Interaction with driver	kirp	8
USP7	uc002czl.2-uc002czj.2	Interaction with driver	coad	11
NEDD4L	uc002lhf.2-uc010dpn.2	Interaction between drivers	kirp	3
HSPA9	uc003ldf.2-uc003lde.2	Interaction with driver	prad	12
HSPA9	uc003ldf.2-uc003lde.2	Interaction with driver	kirc	6
HSPA9	uc003ldf.2-uc003lde.2	Interaction with driver	hnsc	7
HSPA9	uc003ldf.2-uc003lde.2	Interaction with driver	brca	16
MAST2	uc001cov.2-uc001cpa.2	Driver	lusc	4
MAST2	uc001cov.2-uc001cpa.2	Driver	kirc	18
MAST2	uc001cov.2-uc001cpa.2	Driver	hnsc	20
MAST2	uc001cov.2-uc001cpa.2	Driver	kirp	11
MAST2	uc001cov.2-uc001cpa.2	Driver	brca	6
FIP1L1	uc003had.2-uc003gzy.2	Driver	kirp	2
PIM1	uc003onk.2-uc011dtw.1	Interaction between drivers	kich	2
PIM1	uc003onk.2-uc011dtw.1	Interaction between drivers	prad	33
PIM1	uc003onk.2-uc011dtw.1	Interaction between drivers	luad	16
PIM1	uc003onk.2-uc011dtw.1	Interaction between drivers	kirp	37
PIM1	uc003onk.2-uc011dtw.1	Interaction between drivers	coad	4
PIM1	uc003onk.2-uc011dtw.1	Interaction between drivers	brca	7
EEF1A1	uc003phi.2-uc003phl.2	Interaction between drivers	hnsc	12
FLNA	uc004fkk.2-uc004fki.2	Interaction with driver	kirc	12
FLNA	uc004fkk.2-uc004fki.2	Interaction with driver	hnsc	26
MYST1	uc002eay.2-uc002ebb.2	Interaction with driver	lihc	4
MYST1	uc002eay.2-uc002ebb.2	Interaction with driver	kirp	2
MYST1	uc002eay.2-uc002ebb.2	Interaction with driver	brca	7
ARHGEF2	uc001fmt.2-uc001fmq.2	Interaction between drivers	kich	4
ARHGEF2	uc001fmt.2-uc001fmq.2	Interaction between drivers	kirc	15
ARHGEF2	uc001fmt.2-uc001fmq.2	Interaction between drivers	hnsc	17
ARHGEF2	uc001fmt.2-uc001fmq.2	Interaction between drivers	kirp	18
ARHGEF2	uc001fmt.2-uc001fmq.2	Interaction between drivers	coad	5
NPAS2	uc010yvt.1-uc010fit.1	Interaction with driver	prad	11
NPAS2	uc010yvt.1-uc010fit.1	Interaction with driver	luad	5
NPAS2	uc010yvt.1-uc010fit.1	Interaction with driver	kirc	13
NPAS2	uc010yvt.1-uc010fit.1	Interaction with driver	hnsc	6
TOP3A	uc002gsx.1-uc010cpz.1	Interaction between drivers	kirc	14
TOP3A	uc002gsx.1-uc010cpz.1	Interaction between drivers	hnsc	19
TOP3A	uc002gsx.1-uc010cpz.1	Interaction between drivers	kirp	13
TOP3A	uc002gsx.1-uc010cpz.1	Interaction between drivers	coad	7
ATP1A1	uc010owx.1-uc001egh.2	Driver	luad	6
ATP1A1	uc010owx.1-uc001egh.2	Driver	hnsc	29
ATP1A1	uc010owx.1-uc001egh.2	Driver	kirp	2
ATP1A1	uc010owx.1-uc001egh.2	Driver	coad	3
FIP1L1	uc003gzy.2-uc003had.2	Driver	prad	6
DNM2	uc002mpu.1-uc002mpx.1	Interaction between drivers	coad	10
PLK3	uc001cmn.2-uc001cmo.2	Interaction with driver	hnsc	4
DNM2	uc002mpt.1-uc002mpx.1	Interaction between drivers	lihc	5
TXNIP	uc001enn.3-uc001enm.1	Driver	kich	4
TXNIP	uc001enn.3-uc001enm.1	Driver	kirp	41
FBXL2	uc003cfp.2-uc011axp.1	Interaction with driver	kich	3
FBXL2	uc003cfp.2-uc011axp.1	Interaction with driver	kirc	15
FBXL2	uc003cfp.2-uc011axp.1	Interaction with driver	kirp	11
FBXL2	uc003cfp.2-uc011axp.1	Interaction with driver	brca	13
ARHGDIB	uc001rcq.1-uc001rcp.1	Interaction with driver	lihc	8
ARHGDIB	uc001rcq.1-uc001rcp.1	Interaction with driver	prad	7
ARHGDIB	uc001rcq.1-uc001rcp.1	Interaction with driver	hnsc	5
ARHGDIB	uc001rcq.1-uc001rcp.1	Interaction with driver	kirp	9
NLRP1	uc002gcg.1-uc002gci.2	Interaction with driver	lusc	3
DDX17	uc003avx.3-uc010gxp.2	Interaction with driver	kich	8
ARHGAP17	uc002dnb.2-uc002dne.1	Interaction with driver	prad	4
CYTH2	uc002pji.2-uc002pjj.3	Interaction with driver	lusc	15
CYTH2	uc002pji.2-uc002pjj.3	Interaction with driver	luad	9
CYTH2	uc002pji.2-uc002pjj.3	Interaction with driver	kirc	5
CYTH2	uc002pji.2-uc002pjj.3	Interaction with driver	hnsc	8
CYTH2	uc002pji.2-uc002pjj.3	Interaction with driver	kirp	7
CYTH2	uc002pji.2-uc002pjj.3	Interaction with driver	brca	9
PTGES3	uc001slu.3-uc009zox.2	Interaction with driver	hnsc	6
PTGES3	uc001slu.3-uc009zox.2	Interaction with driver	brca	5
AR	uc004dwv.1-uc011mpf.1	Interaction between drivers	brca	7
CD28	uc002vah.3-uc010ftx.2	Interaction with driver	hnsc	9
PTPRJ	uc001ngp.3-uc001ngo.3	Interaction with driver	hnsc	5
MTA2	uc001ntq.1-uc010rlx.1	Interaction with driver	kich	2
MTA2	uc001ntq.1-uc010rlx.1	Interaction with driver	luad	4
MTA2	uc001ntq.1-uc010rlx.1	Interaction with driver	hnsc	17
MTA2	uc001ntq.1-uc010rlx.1	Interaction with driver	kirp	5
TENC1	uc001sbl.2-uc001sbs.2	Interaction with driver	coad	7
SNX13	uc003stv.2-uc010kub.2	Interaction with driver	kich	6
SNX13	uc003stv.2-uc010kub.2	Interaction with driver	lusc	10
SNX13	uc003stv.2-uc010kub.2	Interaction with driver	luad	7
SNX13	uc003stv.2-uc010kub.2	Interaction with driver	hnsc	17
SNX13	uc003stv.2-uc010kub.2	Interaction with driver	kirp	8
SNX13	uc003stv.2-uc010kub.2	Interaction with driver	coad	15
DHX15	uc003gqx.2-uc003gqw.2	Interaction between drivers	kirp	6
DHX15	uc003gqx.2-uc003gqw.2	Interaction between drivers	thca	4
EPHB1	uc003eqt.2-uc003equ.2	Driver	kirc	13
UBE2A	uc004erl.2-uc004ero.2	Interaction with driver	prad	7
UBE2A	uc004erl.2-uc004ero.2	Interaction with driver	kirp	6
RHPN2	uc002nuf.2-uc010xro.1	Interaction with driver	kich	2
RHPN2	uc002nuf.2-uc010xro.1	Interaction with driver	prad	34
RHPN2	uc002nuf.2-uc010xro.1	Interaction with driver	luad	10
RHPN2	uc002nuf.2-uc010xro.1	Interaction with driver	kirc	13
RHPN2	uc002nuf.2-uc010xro.1	Interaction with driver	hnsc	18
RHPN2	uc002nuf.2-uc010xro.1	Interaction with driver	kirp	25
LEF1	uc003hyt.1-uc003hys.1	Interaction between drivers	hnsc	12
PDGFRA	uc003han.3-uc003hao.1	Interaction between drivers	kich	6
PDGFRA	uc003han.3-uc003hao.1	Interaction between drivers	hnsc	8
TNPO3	uc003vol.1-uc010llx.1	Interaction with driver	kich	5
TNPO3	uc003vol.1-uc010llx.1	Interaction with driver	lusc	5
TNPO3	uc003vol.1-uc010llx.1	Interaction with driver	luad	6
TNPO3	uc003vol.1-uc010llx.1	Interaction with driver	kirc	6
TNPO3	uc003vol.1-uc010llx.1	Interaction with driver	coad	11
ANKRD11	uc002fmx.1-uc002fnf.1	Interaction with driver	kirp	2
CBFA2T2	uc002wze.1-uc002wzj.1	Interaction with driver	lusc	4
CBFA2T2	uc002wze.1-uc002wzj.1	Interaction with driver	luad	9
CBFA2T2	uc002wze.1-uc002wzj.1	Interaction with driver	kirc	27
CBFA2T2	uc002wze.1-uc002wzj.1	Interaction with driver	kirp	21
CBFA2T2	uc002wze.1-uc002wzj.1	Interaction with driver	coad	7
FLT3	uc001urw.2-uc010aao.2	Interaction between drivers	kirp	2
VEGFA	uc003owe.2-uc003owk.2	Interaction between drivers	prad	6
PICALM	uc001pbl.2-uc001pbk.2	Interaction between drivers	kich	5
PICALM	uc001pbl.2-uc001pbk.2	Interaction between drivers	lusc	5
PICALM	uc001pbl.2-uc001pbk.2	Interaction between drivers	luad	9
PICALM	uc001pbl.2-uc001pbk.2	Interaction between drivers	hnsc	17
PICALM	uc001pbl.2-uc001pbk.2	Interaction between drivers	kirp	38
PICALM	uc001pbl.2-uc001pbk.2	Interaction between drivers	coad	26
FLII	uc002gsr.1-uc002gsq.1	Interaction with driver	kich	16
