Feature	TotalMutations	TotalLength	ExpectedMutFrequency	fc_m	p_m	adjp_m	H_m	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Frame_Shift_Del_out	Frame_Shift_Ins_out	Nonsense_Mutation_out
PF00075|RNase_H	6	705	2.56538184944673e-05	1.17875227117923	0.399849836917141	1	0.650022421648354	0	0	0	0	6	0	0	0	0	0
PF00076|RNA_recognition_motif._(a.k.a._RRM,_RBD,_or_RNP_domain)	769	131820	0.00479671823253997	0.807988987582136	0.999999999626578	1	0.932802343362602	68	25	4	2	627	43	0	178	130	158
PF00079|Serpin_(serine_protease_inhibitor)	800	62749	0.0022833353995877	1.76580843504833	3.17529053662872e-49	1.40633617867286e-45	0.930212466530196	38	18	3	0	698	42	1	42	20	47
PF00080|Copper/zinc_superoxide_dismutase_(SODC)	13	4675	0.000170115746754091	0.38514312175963	0.999984826145912	1	0.925787598354723	0	3	0	0	10	0	0	0	3	0
PF00082|Subtilase_family	130	15158	0.00055157529182856	1.18785070208885	0.030128244046835	1	0.926534405298709	5	2	0	0	118	5	0	9	2	9
PF00083|Sugar_(and_other)_transporter	495	59999	0.00218326731326176	1.14267202740816	0.00192077783619273	1	0.954546707000552	15	14	1	0	441	23	1	25	22	31
PF00084|Sushi_domain_(SCR_repeat)	1253	77759	0.00282952520895217	2.23182847008115	1.82042467391539e-139	8.10635107294525e-136	0.836726455263766	44	31	5	0	1075	98	0	775	427	1621
PF00085|Thioredoxin	174	26279	0.000956250632930646	0.917066485949212	0.881870001524278	1	0.957547109669561	11	3	2	0	147	11	0	22	15	27
PF00086|Thyroglobulin_type-1_repeat	76	8034	0.000292344365651844	1.31021381399434	0.013370366096559	1	0.927316500687955	2	6	0	0	65	3	0	18	13	16
PF00088|Trefoil_(P-type)_domain	40	539	1.96133449198835e-05	10.278544850728	1.10967479389915e-26	4.85593689810266e-23	0.89944257745855	2	3	0	0	30	5	0	5	4	23
PF00089|Trypsin	1278	94325	0.00343233536097961	1.87656861703291	7.69897556591732e-93	3.42296453660684e-89	0.946900812081488	50	37	4	1	1127	59	0	101	88	121
PF00090|Thrombospondin_type_1_domain	587	45095	0.00164093467377022	1.80289369162677	5.83792430649124e-39	2.57335703430134e-35	0.908559358709234	45	19	0	0	474	49	0	553	248	672
PF00091|Tubulin/FtsZ_family,_GTPase_domain	252	31784	0.00115656874755766	1.09812656524091	0.0745394824644938	1	0.925161797957813	11	4	2	0	224	11	0	11	4	11
PF00092|von_Willebrand_factor_type_A_domain	465	69733	0.00253747195046055	0.92358104794796	0.96035623410259	1	0.93911264941773	18	5	1	0	415	26	0	72	16	91
PF00093|von_Willebrand_factor_type_C_domain	138	16688	0.000607249536220808	1.14534204681035	0.0629250239560568	1	0.881211252699288	8	5	0	0	111	14	0	68	43	92
PF00094|von_Willebrand_factor_type_D_domain	220	9723	0.000353804364853483	3.13388318522915	3.08691642727271e-46	1.36596051906817e-42	0.901157478314383	15	3	2	0	189	11	0	98	85	112
PF00095|WAP-type_(Whey_Acidic_Protein)_'four-disulfide_core'	58	1718	6.25152626574394e-05	4.67590030738443	5.86447513349898e-21	2.55808405323226e-17	0.878483140413761	4	15	0	0	38	1	0	9	15	5
PF00096|Zinc_finger,_C2H2_type	406	59615	0.00216929416957116	0.943258862645393	0.886163084121725	1	0.859733547074647	14	10	3	0	345	34	0	430	213	615
PF00097|Zinc_finger,_C3HC4_type_(RING_finger)	68	12429	0.000452271361798204	0.7577625429819	0.992619165423808	1	0.916686620260192	7	3	0	0	53	5	0	22	10	19
PF00098|Zinc_knuckle	22	3948	0.000143661383569017	0.771802082319733	0.90977628012851	1	0.710635149574596	1	0	0	0	20	1	0	23	6	29
PF00100|Zona_pellucida-like_domain	234	13592	0.000494591065215318	2.38447569865163	2.11541648892339e-31	9.27821672041799e-28	0.90667983460624	5	9	1	0	207	12	0	12	12	29
PF00102|Protein-tyrosine_phosphatase	545	93382	0.00339802110446857	0.808339386237603	0.999999884254149	1	0.929091613661439	16	6	0	0	483	40	0	83	22	149
PF00104|Ligand-binding_domain_of_nuclear_hormone_receptor	351	58523	0.002129558042201	0.830693753637191	0.999845261522213	1	0.94807069436695	9	6	5	0	301	30	0	49	18	64
PF00105|Zinc_finger,_C4_type_(two_domains)	159	21218	0.000772088965695896	1.03789420804534	0.330063473812114	1	0.942559167603228	7	3	0	0	141	8	0	27	8	19
PF00106|short_chain_dehydrogenase	227	46069	0.00167637697052711	0.682460438755518	0.999999999665538	1	0.974454956102227	8	2	0	0	206	10	1	12	4	13
PF00107|Zinc-binding_dehydrogenase	73	16873	0.000613981389300917	0.59922643312036	0.999999288090071	1	0.923931165763951	3	0	0	0	67	3	0	17	6	7
PF00108|Thiolase,_N-terminal_domain	47	13986	0.000508928092856198	0.465441113798605	0.999999999285787	1	0.954193270466616	1	0	0	0	40	6	0	1	0	6
PF00109|Beta-ketoacyl_synthase,_N-terminal_domain	23	5335	0.000194132087472316	0.597109280761362	0.997211577052296	1	0.960840716846783	3	2	2	0	16	0	0	3	2	0
PF00110|wnt_family	270	13336	0.000485275636088249	2.80413285866534	1.20091020533315e-47	5.31522856880453e-44	0.935316754678678	12	8	4	0	236	10	0	13	8	10
PF00111|2Fe-2S_iron-sulfur_cluster_binding_domain	16	1470	5.34909406905913e-05	1.5075199114401	0.0734176886075856	1	0.906564573366172	0	1	0	0	13	2	0	1	1	2
PF00112|Papain_family_cysteine_protease	95	21606	0.00078620766296661	0.608989272750076	0.999999943149626	1	0.952626813067137	5	2	0	0	81	7	0	10	3	11
PF00113|Enolase,_C-terminal_TIM_barrel_domain	23	9504	0.000345835306342435	0.335182871723681	0.999999999948544	1	0.92703301616465	2	0	1	0	19	1	0	4	0	1
PF00117|Glutamine_amidotransferase_class-I	33	9517	0.000346308355477794	0.480257637017701	0.99999939080533	1	0.944822709957507	1	0	0	0	32	0	0	2	0	2
PF00118|TCP-1/cpn60_chaperonin_family	268	62895	0.00228864810526173	0.590172653143078	1	1	0.921791834854997	12	4	2	0	230	20	0	14	6	24
PF00120|Glutamine_synthetase,_catalytic_domain	32	3452	0.000125612739635321	1.28392483766915	0.0972809970155375	1	0.967412925946062	0	0	1	0	27	4	0	1	0	4
PF00121|Triosephosphate_isomerase	13	2607	9.48645458369875e-05	0.690657496826341	0.934703549112921	1	0.785134774296842	0	0	0	0	13	0	0	0	0	0
PF00122|E1-E2_ATPase	342	51527	0.00187498483058782	0.919288140534813	0.944960289721774	1	0.951330007817499	12	12	1	0	296	21	0	26	27	30
PF00123|Peptide_hormone	10	104	3.78439308287177e-06	13.3176338330346	7.94865626586007e-09	3.3797686442437e-05	0.882146448223672	0	0	0	0	7	3	0	1	0	8
PF00125|Core_histone_H2A/H2B/H3/H4	404	13461	0.000489824185466701	4.15685092585083	3.79583787207219e-119	1.68914785307213e-115	0.963367914655261	12	3	10	0	361	18	0	17	7	26
PF00128|Alpha_amylase,_catalytic_domain	91	8987	0.000327022506113159	1.40244894398397	0.001267993081072	1	0.899687571359064	4	1	0	0	84	2	0	8	1	3
PF00129|Class_I_Histocompatibility_antigen,_domains_alpha_1_and_2	264	25327	0.000921608880864358	1.44371206427843	1.04416971261544e-08	4.43667710890301e-05	0.912490342455185	13	4	2	0	223	22	0	17	4	24
PF00130|Phorbol_esters/diacylglycerol_binding_domain_(C1_domain)	104	20356	0.000740722169182093	0.707621966683542	0.999920150808316	1	0.908774892355743	5	1	0	0	91	7	0	38	18	38
PF00131|Metallothionein	24	2047	7.44870446215241e-05	1.62387953332947	0.0166997333998565	1	0.959640560922252	2	3	0	0	18	1	0	2	3	1
PF00132|Bacterial_transferase_hexapeptide_(six_repeats)	6	1067	3.88264174944632e-05	0.778838192297429	0.780104523043945	1	0.710309917857152	0	0	0	0	6	0	0	3	1	3
PF00133|tRNA_synthetases_class_I_(I,_L,_M_and_V)	112	34142	0.00124237258303277	0.454348892528811	1	1	0.91172066179427	6	8	0	0	89	9	0	9	10	9
PF00134|Cyclin,_N-terminal_domain	122	27388	0.000996605363016269	0.616964137847022	0.999999997260764	1	0.964185759611994	4	4	4	0	98	12	0	9	7	19
PF00135|Carboxylesterase_family	436	43367	0.0015780555271625	1.39247535804902	3.04963850374998e-11	1.30677009885687e-07	0.888469455617906	14	5	1	0	396	20	0	17	8	24
PF00136|DNA_polymerase_family_B	33	11002	0.0004003451220938	0.415434642019402	0.999999998747654	1	0.907372581987588	3	1	1	0	27	1	0	6	4	4
PF00137|ATP_synthase_subunit_C	16	4950	0.000180122555386685	0.447687731276152	0.999923755472183	1	0.919273372630177	0	0	0	0	15	1	0	1	0	2
PF00144|Beta-lactamase	10	3729	0.000135692325057969	0.371422343426011	0.999939104217414	1	0.897951637144692	1	0	0	0	9	0	0	4	0	0
PF00145|C-5_cytosine-specific_DNA_methylase	42	10706	0.000389574157165626	0.543353489470343	0.999995682965535	1	0.894477770713169	2	1	0	0	39	0	0	10	4	10
PF00147|Fibrinogen_beta_and_gamma_chains,_C-terminal_globular_domain	249	23117	0.000841190527853333	1.4918607334008	1.82730677872269e-09	7.78249957057993e-06	0.934414941605807	8	6	1	0	215	19	0	25	26	52
PF00149|Calcineurin-like_phosphoesterase	194	42038	0.0015296953501708	0.639175460809994	0.999999999993261	1	0.957324194014647	3	3	1	0	171	16	0	8	3	18
PF00151|Lipase	236	12148	0.000442046222795445	2.69071456040501	3.49593526710913e-39	1.54170745279513e-35	0.93265161378587	7	4	0	0	212	13	0	7	5	13
PF00152|tRNA_synthetases_class_II_(D,_K_and_N)	53	11320	0.000411916631712581	0.648469944237513	0.999712376767977	1	0.924770243499029	0	2	0	0	46	5	0	0	2	9
PF00153|Mitochondrial_carrier_protein	491	96906	0.00352625380854588	0.701764239624045	1	1	0.961019955071628	19	11	3	0	434	24	0	59	24	70
PF00155|Aminotransferase_class_I_and_II	256	43171	0.00157092340173709	0.821312184500503	0.99947981409536	1	0.955083812613363	8	8	0	0	229	11	0	8	10	14
PF00156|Phosphoribosyl_transferase_domain	15	3905	0.000142096682582829	0.532023272203173	0.997538267132808	1	0.934095681976777	0	0	0	0	15	0	0	2	0	0
PF00157|Pou_domain_-_N-terminal_to_homeobox_domain	54	3529	0.000128414646052447	2.11934915291363	5.8808301955006e-07	0.0024740652632471	0.929533542674262	3	0	0	0	48	3	0	10	2	6
PF00159|Pancreatic_hormone_peptide	8	105	3.82078147789938e-06	10.5526393800807	1.38318512559665e-06	0.00580661115725473	0.928383211769586	0	0	0	0	6	2	0	0	0	2
PF00160|Cyclophilin_type_peptidyl-prolyl_cis-trans_isomerase/CLD	92	21813	0.000793740060737326	0.584161374017671	0.999999993930806	1	0.912216062759514	4	1	1	1	82	3	0	14	3	12
PF00162|Phosphoglycerate_kinase	53	4378	0.00015930839343089	1.67671991063697	0.000316153124621524	1	0.707832040387431	1	1	0	0	46	5	0	1	1	5
PF00163|Ribosomal_protein_S4/S9_N-terminal_domain	3	1100	4.00272345303745e-05	0.377736523264253	0.985611508365601	1	0.91829583405449	1	0	0	0	2	0	0	1	0	0
PF00164|Ribosomal_protein_S12/S23	8	979	3.56242387320333e-05	1.13179482625993	0.411479829444162	1	0.967132018086354	0	2	0	0	6	0	0	0	2	0
PF00167|Fibroblast_growth_factor	137	5642	0.000205303324745793	3.36316282972486	2.07148566701471e-32	9.09175059252757e-29	0.962071047479237	4	2	0	0	117	14	0	5	3	16
PF00168|C2_domain	720	92624	0.00337043870103764	1.07663717979965	0.0256991687877633	1	0.931712222711093	34	19	2	1	612	52	0	233	159	264
PF00169|PH_domain	727	145171	0.00528253969455363	0.693609370224133	1	1	0.951423727395478	42	19	3	1	609	53	0	169	98	217
PF00170|bZIP_transcription_factor	67	12789	0.000465371184008145	0.725602256224762	0.997552477044958	1	0.903220251585236	12	2	4	0	47	2	0	27	11	8
PF00171|Aldehyde_dehydrogenase_family	323	76505	0.00278389416158754	0.584753879771645	1	1	0.948884136687694	13	17	2	0	280	11	0	16	21	18
PF00173|Cytochrome_b5-like_Heme/Steroid_binding_domain	38	5950	0.000216510950414298	0.884559477447942	0.795479261556381	1	0.96708372063559	2	3	0	0	33	0	0	2	5	0
PF00174|Oxidoreductase_molybdopterin_binding_domain	4	1980	7.2049022154674e-05	0.279804832047595	0.999626189681144	1	0.511859507142915	0	0	0	0	4	0	0	1	1	0
PF00175|Oxidoreductase_NAD-binding_domain	43	10278	0.000373999924093808	0.579455716105571	0.99996617818047	1	0.887429892989805	1	0	0	0	40	2	0	18	7	17
PF00176|SNF2_family_N-terminal_domain	345	81738	0.00297431463276704	0.584595539319876	1	1	0.934663623573597	21	9	0	0	284	31	0	62	27	70
PF00177|Ribosomal_protein_S7p/S5e	13	3366	0.000122483337662946	0.534921002443931	0.995407632518152	1	0.947947919003874	1	0	0	0	12	0	0	1	0	0
PF00178|Ets-domain	114	18199	0.000662232401107532	0.867596388397482	0.943469131612037	1	0.937886514540398	4	2	0	0	103	5	0	20	17	17
PF00179|Ubiquitin-conjugating_enzyme	172	30922	0.00112520195104385	0.770408880425982	0.999842680922816	1	0.958725709734147	12	1	3	0	143	13	0	23	4	24
PF00180|Isocitrate/isopropylmalate_dehydrogenase	67	19276	0.000701422702552271	0.48141353262391	0.999999999996329	1	0.940559513873848	1	0	1	0	61	4	0	2	0	4
PF00181|Ribosomal_Proteins_L2,_RNA_binding_domain	7	1727	6.28427582126879e-05	0.561391860477658	0.964819823466813	1	0.975503759006109	0	0	0	0	7	0	0	0	0	0
PF00183|Hsp90_protein	105	21976	0.000799671369126827	0.661760836625124	0.999997626833013	1	0.91203247024519	8	2	2	0	86	7	0	11	2	10
PF00185|Aspartate/ornithine_carbamoyltransferase,_Asp/Orn_binding_domain	19	1639	5.9640579450258e-05	1.60559148591069	0.0333361237422005	1	0.838311378791194	0	0	0	0	18	1	0	4	1	6
PF00186|Dihydrofolate_reductase	16	1888	6.87012898121336e-05	1.17375755816576	0.294714358297438	1	0.899774284932523	1	0	1	0	11	3	0	1	0	3
PF00188|Cysteine-rich_secretory_protein_family	125	8351	0.000303879486875597	2.0731557876835	2.23782852301707e-13	9.64504093420355e-10	0.925065535885505	1	1	0	0	120	3	0	7	1	5
PF00189|Ribosomal_protein_S3,_C-terminal_domain	2	913	3.32226046602108e-05	0.303402829931127	0.989589033695511	1	1	0	0	0	0	2	0	0	0	0	0
PF00191|Annexin	148	29179	0.00106177697851072	0.702508721882408	0.999997812941022	1	0.941540364879028	7	3	0	0	126	12	0	27	24	36
PF00193|Extracellular_link_domain	142	11686	0.000425234784292687	1.68299517753084	6.68986464665115e-09	2.84519943422074e-05	0.868098797574914	3	1	0	0	133	5	0	13	8	22
PF00194|Eukaryotic-type_carbonic_anhydrase	181	12493	0.000454600219079971	2.00665283977461	2.7818930941212e-17	1.20845436008625e-13	0.958783721177578	7	6	0	0	158	9	1	7	6	11
PF00198|2-oxoacid_dehydrogenases_acyltransferase_(catalytic_domain)	41	8432	0.000306826946872834	0.673462887382108	0.997112647216566	1	0.900598522120967	3	0	0	0	35	3	0	8	2	4
PF00199|Catalase	9	4213	0.000153304308251334	0.29587717226965	0.999998503933451	1	0.970835762725816	2	0	0	0	7	0	0	2	0	0
PF00200|Disintegrin	73	7510	0.000273276846657375	1.34630460799465	0.00862890773532994	1	0.85494880512968	2	0	1	0	65	5	0	19	8	31
PF00201|UDP-glucoronosyl_and_UDP-glucosyl_transferase	643	21715	0.00079017399802462	4.1012056628261	1.31288599294625e-185	5.85415864254734e-182	0.928850635754344	33	9	4	0	573	24	0	36	10	29
PF00202|Aminotransferase_class-III	81	11109	0.000404238680361755	1.00988160419014	0.479555111858925	1	0.916646302670754	1	2	0	0	74	4	0	4	2	8
PF00203|Ribosomal_protein_S19	2	891	3.24220599696033e-05	0.310894257830661	0.988052039362532	1	1	0	0	0	0	2	0	0	0	0	0
PF00204|DNA_gyrase_B	6	1920	6.98657184530172e-05	0.432823099573623	0.993933393284666	1	0.920782221161602	0	0	0	0	5	1	0	1	2	2
PF00205|Thiamine_pyrophosphate_enzyme,_central_domain	11	2827	0.000102869992743062	0.538923703749258	0.991350504823188	1	0.856535980113957	0	0	0	0	11	0	0	0	0	2
