id	Feature	ProteomeCounts	ExpectedSwitchFrequency	LostNum	GainNum	fc_g	fc_l	fc_m	p_g	adjp_g	p_l	adjp_l	p_m	adjp_m	H_g	H_l	switches_g	switches_l	patients_g	patients_l
PF00011	PF00011|Hsp20/alpha_crystallin_family	35	0.000139336757036506	5	0	0	0.217377759085316	0.868139226892871	1	1	0.999998569056448	1	0.760195090296625	1	NaN	0	0	1	0	5
PF00012	PF00012|Hsp70_protein	114	0.000453839722918906	46	0	0	0.61399682829361	0.669302619842083	1	1	0.999867962461153	1	0.999999999999884	1	NaN	1	0	2	0	46
PF00013	PF00013|KH_domain	621	0.00247223217484772	114	25	0.348316300653751	0.27933567109514	0.915508070064098	0.999999999945711	1	1	1	0.91643729368757	1	0.967268975375069	NaN	9	0	139	0
PF00014	PF00014|Kunitz/Bovine_pancreatic_trypsin_inhibitor_domain	141	0.000561328078347068	136	20	1.22725913592045	1.46768529538454	1.14693923619415	0.208982675534054	1	1.47258415027332e-05	0.0167285559471049	0.166672292947608	1	0.942704288273064	NaN	6	0	156	0
PF00017	PF00017|SH2_domain	795	0.00316493490982921	498	33	0.359146966002381	0.953180966253346	0.827419131954419	0.999999999999549	1	0.863309575045715	1	0.99987654416161	1	NaN	0.994697107806739	0	29	0	531
PF00018	PF00018|SH3_domain	826	0.00328834746606155	466	144	1.50836982419666	0.858457929947093	0.703684357053412	2.14962249807362e-06	0.00343294712942357	0.999664483663485	1	0.999999761237327	1	NaN	1	0	19	0	610
PF00019	PF00019|Transforming_growth_factor_beta_like_domain	68	0.000270711413670926	475	0	0	10.6291330729217	3.77233222185699	1	1	2.27711030002327e-303	3.95989481174047e-300	1.91274888317343e-47	8.45817556139292e-44	NaN	1	0	2	0	475
PF00020	PF00020|TNFR/NGFR_cysteine-rich_region	208	0.000828058441816951	411	4	0.166388017466138	3.00671063888679	0.622815067625191	0.999999905369024	1	1.00835776561329e-79	1.68294911080859e-76	0.998864772954589	1	NaN	0.962107118583009	0	9	0	415
PF00021	PF00021|u-PAR/Ly-6_domain	83	0.000330427166686572	12	0	0	0.219996768230922	1.34114869505506	1	1	0.999999999999193	1	0.0202408492073795	1	NaN	0.91829583405449	0	2	0	12
PF00022	PF00022|Actin	117	0.000465782873522035	NA	NA	NA	NA	1.86989270391424	NA	NA	NA	NA	4.52863537387627e-44	1.9984867904916e-40	NA	NA	NA	NA	NA	NA
PF00023	PF00023|Ankyrin_repeat	532	0.00211791870695489	670	54	0.878228483167135	1.91635656035739	0.896736774887986	0.846442579390412	1	1.78115770773399e-52	2.84272770154345e-49	0.870167555140146	1	0.978365013879193	NaN	20	0	724	0
PF00024	PF00024|PAN_domain	51	0.000203033560253195	114	9	1.5268547485128	3.40132258333494	2.1298500392238	0.142038308435378	1	1.14400353832062e-27	1.6759651836397e-24	1.57781480221744e-07	0.000663313342852214	NaN	1	0	2	0	123
PF00025	PF00025|ADP-ribosylation_factor_family	196	0.000780285839404435	103	0	0	0.799639613778125	0.797752317874168	1	1	0.991579227537086	1	0.999183869608318	1	NaN	0.968929886740147	0	5	0	103
PF00026	PF00026|Eukaryotic_aspartyl_protease	38	0.000151279907639635	42	0	0	1.68181739923902	1.19964099219735	1	1	0.00115306501779306	1	0.0407380896169351	1	NaN	0	0	1	0	42
PF00027	PF00027|Cyclic_nucleotide-binding_domain	161	0.000640949082367929	217	30	1.61220687731165	2.05091190093537	1.86360973107948	0.0091122085782506	1	2.00079121884859e-21	2.82511720101421e-18	2.66517487031569e-14	1.14789081664497e-10	NaN	1	0	6	0	247
PF00028	PF00028|Cadherin_domain	2188	0.00871053783988216	590	1335	5.27909331467062	0.410315422770728	2.71195607072971	0	0	1	1	0	0	NaN	1	0	18	0	1925
PF00029	PF00029|Connexin	52	0.000207014610454238	NA	NA	NA	NA	2.61435946780087	NA	NA	NA	NA	2.1712495106083e-16	9.40151038093392e-13	NA	NA	NA	NA	NA	NA
PF00030	PF00030|Beta/Gamma_crystallin	121	0.000481707074326207	NA	NA	NA	NA	2.54226620227594	NA	NA	NA	NA	3.903275034543e-25	1.70495053508838e-21	NA	NA	NA	NA	NA	NA
PF00031	PF00031|Cystatin_domain	35	0.000139336757036506	NA	NA	NA	NA	6.32315998025299	NA	NA	NA	NA	5.84062811761695e-64	2.59031857016312e-60	NA	NA	NA	NA	NA	NA
PF00035	PF00035|Double-stranded_RNA_binding_motif	295	0.0011744098093077	151	0	0	0.77887556390908	0.714691011254735	1	1	0.999386661060917	1	0.999653126553621	1	NaN	1	0	3	0	151
PF00036	PF00036|EF_hand	83	0.000330427166686572	6	0	0	0.109998384115461	1.64058866379724	1	1	1	1	0.0169447179846922	1	NaN	0	0	1	0	6
PF00037	PF00037|4Fe-4S_binding_domain	9	3.58294518093873e-05	NA	NA	NA	NA	0	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA
PF00038	PF00038|Intermediate_filament_protein	157	0.000625024881563757	80	3	0.165328221176545	0.775360159794756	3.39104104390507	0.999997591505299	1	0.992101448542368	1	5.97838513517668e-236	2.66755544731583e-232	NaN	1	0	5	0	83
PF00039	PF00039|Fibronectin_type_I_domain	46	0.00018312830924798	15	0	0	0.496188363129525	1.37074614772559	1	1	0.999191310318052	1	0.132854401288067	1	NaN	0	0	1	0	15
PF00040	PF00040|Fibronectin_type_II_domain	69	0.000274692463871969	335	0	0	7.38769340659514	2.21712595505082	1	1	1.36734186717864e-167	2.35046066968008e-164	2.58471900142542e-06	0.0107912018309511	NaN	0.9629498918369	0	5	0	335
PF00041	PF00041|Fibronectin_type_III_domain	2444	0.00972968669134918	1549	4981	17.6335896808263	0.964413683208706	1.44114186485442	0	0	0.926510818653735	1	1.25506571284737e-51	5.55743097648817e-48	0.995670305171908	NaN	43	0	6530	0
PF00042	PF00042|Globin	28	0.000111469405629205	NA	NA	NA	NA	2.98253352703891	NA	NA	NA	NA	5.33800076659585e-13	2.29267132925292e-09	NA	NA	NA	NA	NA	NA
PF00043	PF00043|Glutathione_S-transferase,_C-terminal_domain	108	0.000429953421712648	32	0	0	0.450857574399173	1.41406260487835	1	1	0.999999923361395	1	0.00142545192116217	1	NaN	1	0	2	0	32
PF00044	PF00044|Glyceraldehyde_3-phosphate_dehydrogenase,_NAD_binding_domain	11	4.37915522114734e-05	2	0	0	0.27666260247222	1.60650101342778	1	1	0.994032782365828	1	0.037314812220267	1	NaN	0	0	1	0	2
PF00045	PF00045|Hemopexin	205	0.000816115291213822	315	0	0	2.33813638430791	2.68853201137752	1	1	4.455992790191e-40	6.93798077432739e-37	5.80447892622967e-27	2.53887908233286e-23	NaN	1	0	5	0	315
PF00046	PF00046|Homeobox_domain	518	0.00206218400414029	310	42	0.701527857424799	0.910636558330376	3.58497505971523	0.99368016315226	1	0.95494664983877	1	1.64119976459005e-167	7.31318615101328e-164	NaN	1	0	14	0	352
PF00047	PF00047|Immunoglobulin_domain	199	0.000792228990007564	40	0	0	0.305858153486876	1.14437188754739	1	1	1	1	0.105428717694644	1	NaN	1	0	6	0	40
PF00048	PF00048|Small_cytokines_(intecrine/chemokine),_interleukin-8_like	98	0.000390142919702217	20	3	0.264862558415485	0.310539655836165	3.6965060571048	0.999080075919823	1	0.999999999971208	1	3.26029761172139e-37	1.43387888963507e-33	NaN	1	0	4	0	23
PF00049	PF00049|Insulin/IGF/Relaxin_family	35	0.000139336757036506	79	20	4.94410109042239	3.43456859354799	5.09622690931492	1.21885404971323e-08	1.97576241458514e-05	6.02415415535447e-20	8.42176750918554e-17	5.57565359146582e-18	2.41983365869617e-14	0.767149062885948	NaN	3	0	99	0
PF00050	PF00050|Kazal-type_serine_protease_inhibitor_domain	51	0.000203033560253195	49	0	0	1.46197198757379	2.76654782290389	1	1	0.00711125580999118	1	5.08114577194025e-10	2.16405998426935e-06	NaN	1	0	3	0	49
PF00051	PF00051|Kringle_domain	144	0.000573271228950197	22	0	0	0.232473436799574	2.77766168760979	1	1	1	1	2.01963196324304e-37	8.88436100630614e-34	NaN	1	0	2	0	22
PF00052	PF00052|Laminin_B_(Domain_IV)	42	0.000167204108443807	63	0	0	2.28246647039581	1.29731331838314	1	1	5.42401469359956e-09	6.55763376456187e-06	0.0430707530003328	1	NaN	1	0	2	0	63
PF00053	PF00053|Laminin_EGF-like_(Domains_III_and_V)	825	0.0032843664158605	812	0	0	1.49766688804962	1.45444930749365	1	1	1.86445091862045e-27	2.7258272430231e-24	6.85073682800902e-12	2.93280043607066e-08	NaN	1	0	5	0	812
PF00054	PF00054|Laminin_G_domain	138	0.000549384927743939	42	49	3.07214977176609	0.46310913892089	0.873013474427201	2.40415752885667e-11	3.94762666238265e-08	0.999999996016111	1	0.928272179087711	1	0.894231972015622	NaN	3	0	91	0
PF00055	PF00055|Laminin_N-terminal_(Domain_VI)	62	0.000246825112464668	62	0	0	1.52164431359721	1.60134806649114	1	1	0.0011587631642222	1	3.15486272641727e-08	0.000133261401563865	NaN	1	0	3	0	62
PF00056	PF00056|lactate/malate_dehydrogenase,_NAD_binding_domain	58	0.000230900911660496	2	0	0	0.0524704935723175	0.771109660054878	1	1	0.999999999999999	1	0.964952960761428	1	NaN	0	0	1	0	2
PF00057	PF00057|Low-density_lipoprotein_receptor_domain_class_A	858	0.00341574107249492	826	149	1.50253421833058	1.46489301052598	2.02627334769697	1.78260122115055e-06	0.00285216195384088	2.72200169623641e-25	3.93057044936537e-22	5.64810765753233e-39	2.48573218007998e-35	NaN	1	0	10	0	975
PF00058	PF00058|Low-density_lipoprotein_receptor_repeat_class_B	512	0.00203829770293403	322	0	0	0.956971619098244	1.33334979944934	1	1	0.792295533703725	1	0.000103417860356607	0.424530316763871	NaN	1	0	3	0	322
PF00059	PF00059|Lectin_C-type_domain	573	0.00228114176519766	689	9	0.135898066621558	1.8296909809223	1.42078169882494	1	1	2.01675741939878e-47	3.19252699490827e-44	4.43771068581063e-16	1.92019741375026e-12	NaN	0.990093643085346	0	12	0	698
PF00060	PF00060|Ligand-gated_ion_channel	25	9.95262550260759e-05	5	5	1.73043538164784	0.304328862719442	7.57259109622995	0.166506101999123	1	0.999712507755305	1	4.37947765752053e-155	1.95105729642539e-151	NaN	1	0	2	0	10
PF00061	PF00061|Lipocalin_/_cytosolic_fatty-acid_binding_protein_family	51	0.000203033560253195	NA	NA	NA	NA	3.68303924644568	NA	NA	NA	NA	2.39537748116148e-45	1.05803823342903e-41	NA	NA	NA	NA	NA	NA
PF00063	PF00063|Myosin_head_(motor_domain)	175	0.000696683785182531	167	0	0	1.45208343068991	1.33050502147757	1	1	3.18797475909981e-06	0.00366935894772388	2.57712360971575e-18	1.11976020842149e-14	NaN	0.949011896365879	0	9	0	167
PF00066	PF00066|LNR_domain	106	0.000421991321310562	6	0	0	0.0861308102036156	1.00930183147341	1	1	1	1	0.508204880918119	1	NaN	0	0	1	0	6
PF00067	PF00067|Cytochrome_P450	260	0.00103507305227119	36	31	1.03160570829006	0.210689212651921	1.70522233430062	0.455299540410773	1	1	1	6.67912787032038e-63	2.96152529770006e-59	1	NaN	3	0	67	0
PF00068	PF00068|Phospholipase_A2	11	4.37915522114734e-05	6	2	1.57312307422531	0.829987807416659	5.7566993525718	0.362998015606778	1	0.72758658308139	1	5.80072835117642e-22	2.52911756111292e-18	1	NaN	2	0	8	0
PF00069	PF00069|Protein_kinase_domain	2781	0.0110713006091007	1669	468	1.45602977096582	0.913205451058519	0.81431464091078	7.83444961211017e-15	1.29895174568787e-11	0.999926141013567	1	1	1	NaN	0.992856172248691	0	74	0	2137
PF00070	PF00070|Pyridine_nucleotide-disulphide_oxidoreductase	70	0.000278673514073012	35	7	0.865217690823918	0.760822156798604	0.538039902849216	0.697582483124347	1	0.959908636921545	1	0.998981042864123	1	1	NaN	2	0	42	0
PF00071	PF00071|Ras_family	753	0.00299773080138541	401	136	1.56267736988118	0.810331168329988	1.54484558845175	7.01596339868416e-07	0.00112536052914894	0.999994253217265	1	1.17280712160873e-46	5.18380747751058e-43	NaN	0.994246948133917	0	18	0	537
PF00072	PF00072|Response_regulator_receiver_domain	21	8.36020542219037e-05	88	0	0	6.37641426650259	0.902852682221906	1	1	1.3051268243459e-40	2.03469271915526e-37	0.687277098403082	1	NaN	0	0	1	0	88
PF00074	PF00074|Pancreatic_ribonuclease	34	0.000135355706835463	NA	NA	NA	NA	3.05344067555889	NA	NA	NA	NA	1.01198233190618e-17	4.3889673734771e-14	NA	NA	NA	NA	NA	NA
PF00075	PF00075|RNase_H	5	1.99052510052152e-05	NA	NA	NA	NA	1.2365880141184	NA	NA	NA	NA	0.358099688172823	1	NA	NA	NA	NA	NA	NA
PF00076	PF00076|RNA_recognition_motif._(a.k.a._RRM,_RBD,_or_RNP_domain)	2028	0.00807356980771528	1614	14	0.0597290319109214	1.21101278212322	0.847633147365373	1	1	3.78121378400175e-14	4.94204641569029e-11	0.999998913592926	1	NaN	0.9911465957818	0	55	0	1628
PF00079	PF00079|Serpin_(serine_protease_inhibitor)	175	0.000696683785182531	NA	NA	NA	NA	1.85244821952748	NA	NA	NA	NA	1.02994436450539e-56	4.56368347912338e-53	NA	NA	NA	NA	NA	NA
PF00080	PF00080|Copper/zinc_superoxide_dismutase_(SODC)	33	0.00013137465663442	NA	NA	NA	NA	0.404040254880397	NA	NA	NA	NA	0.999957575543786	1	NA	NA	NA	NA	NA	NA
PF00081	PF00081|Iron/manganese_superoxide_dismutases,_alpha-hairpin_domain	11	4.37915522114734e-05	0	7	5.50593075978857	0	NA	0.000353717922925342	0.553214831455234	1	1	NA	NA	0	NaN	1	0	7	0
PF00082	PF00082|Subtilase_family	62	0.000246825112464668	147	0	0	3.60776958223854	1.24613286156871	1	1	7.47051905858029e-38	1.15045993502136e-34	0.00839890163673375	1	NaN	0.935002945909519	0	5	0	147
PF00083	PF00083|Sugar_(and_other)_transporter	177	0.000704645885584617	46	19	0.928764752861833	0.395455584324698	1.19873748514411	0.656312182252695	1	0.999999999999964	1	4.73022645867716e-05	0.194979934626672	NaN	1	0	5	0	65
PF00084	PF00084|Sushi_domain_(SCR_repeat)	1460	0.00581233329352283	204	0	0	0.212613315050569	2.34133363145896	1	1	1	1	3.26429735611905e-154	1.45391804241543e-150	NaN	1	0	8	0	204
PF00085	PF00085|Thioredoxin	281	0.00111867510649309	471	9	0.277115986384885	2.55051413417895	0.962062557504118	0.99999968708591	1	1.59248746504609e-69	2.62441934239596e-66	0.705038629585516	1	NaN	1	0	9	0	480
PF00086	PF00086|Thyroglobulin_type-1_repeat	122	0.00048568812452725	145	0	0	1.8085116841934	1.37449974683561	1	1	4.97944734338191e-11	6.25916531063106e-08	0.00473346898989797	1	NaN	1	0	2	0	145
PF00088	PF00088|Trefoil_(P-type)_domain	11	4.37915522114734e-05	NA	NA	NA	NA	10.7828639450028	NA	NA	NA	NA	1.94960270555762e-27	8.53146143952015e-24	NA	NA	NA	NA	NA	NA
PF00089	PF00089|Trypsin	452	0.00179943469087145	57	59	1.12937707430556	0.191888774059825	1.9686428745305	0.191371457850384	1	1	1	1.11517405877761e-105	4.96029421344281e-102	1	NaN	7	0	116	0
PF00090	PF00090|Thrombospondin_type_1_domain	1000	0.00398105020104304	425	189	1.63526143565721	0.646698833278814	1.89135307248656	2.2001335170816e-10	3.59281803339425e-07	1	1	1.3527331371123e-44	5.97231680035081e-41	0.980811997242908	NaN	19	0	614	0
PF00091	PF00091|Tubulin/FtsZ_family,_GTPase_domain	163	0.000648911182770015	36	0	0	0.336068682757666	1.15200638994607	1	1	1	1	0.0148291364434226	1	NaN	1	0	2	0	36
PF00092	PF00092|von_Willebrand_factor_type_A_domain	412	0.00164019268282973	937	22	0.462009446556461	3.46063282000142	0.968896757939485	0.999987965729385	1	6.81533311421985e-219	1.1810972286943e-215	0.758442765369833	1	1	NaN	14	0	959	0
PF00093	PF00093|von_Willebrand_factor_type_C_domain	289	0.00115052350810144	894	0	0	4.70709348220036	1.20153850964345	1	1	8.12920055586028e-299	1.41285505660852e-295	0.0194773803635012	1	NaN	1	0	8	0	894
PF00094	PF00094|von_Willebrand_factor_type_D_domain	65	0.000258768263067797	142	5	0.665552069864553	3.32420757739698	3.28764786228126	0.868884255434489	1	5.0530171883011e-33	7.58963181682825e-30	2.12452102724289e-49	9.39888102452256e-46	NaN	1	0	2	0	147
PF00095	PF00095|WAP-type_(Whey_Acidic_Protein)_'four-disulfide_core'	41	0.000163223058242764	0	10	2.11028705079005	0	4.90532439826362	0.0233003936315868	1	1	1	6.42909845029972e-22	2.80180110464062e-18	0	NaN	1	0	10	0
PF00096	PF00096|Zinc_finger,_C2H2_type	2717	0.0108165133962339	404	258	0.821590593421314	0.226258484612908	0.989540069001398	0.999517806688067	1	1	1	0.59058751669918	1	0.996087745633346	NaN	25	0	662	0
PF00097	PF00097|Zinc_finger,_C3HC4_type_(RING_finger)	315	0.00125403081332856	354	0	0	1.71003837147115	0.794942331064931	1	1	1.06431440010912e-20	1.49855467535364e-17	0.977661908529179	1	NaN	0.98651961954901	0	13	0	354
PF00098	PF00098|Zinc_knuckle	253	0.00100720570086389	180	17	0.581371570909352	1.0825927922826	0.809670723529905	0.994395777514983	1	0.152373375884755	1	0.863529457008554	1	NaN	1	0	7	0	197
PF00100	PF00100|Zona_pellucida-like_domain	77	0.000306540865480314	0	23	2.58441647908443	0	2.50147053032559	5.65302357876562e-05	0.0892047120729215	1	1	2.71841284235394e-34	1.19338323779338e-30	0	NaN	1	0	23	0
PF00102	PF00102|Protein-tyrosine_phosphatase	414	0.00164815478323182	167	63	1.31663561647118	0.613803382538004	0.848000738408977	0.0203511250339148	1	0.9999999999973	1	0.999965293214876	1	1	NaN	6	0	230	0
PF00104	PF00104|Ligand-binding_domain_of_nuclear_hormone_receptor	334	0.00132967076714837	125	0	0	0.569477662274404	0.871451927828002	1	1	0.9999999999985	1	0.996077353610496	1	NaN	0.98244539100259	0	8	0	125
PF00105	PF00105|Zinc_finger,_C4_type_(two_domains)	317	0.00126199291373064	154	0	0	0.739221527741231	1.0888187187184	1	1	0.999965086285598	1	0.151095254478681	1	NaN	0.976039780525032	0	8	0	154
PF00106	PF00106|short_chain_dehydrogenase	312	0.00124208766272543	85	101	2.80086496067999	0.414550534153086	0.715945512309211	6.04908731286157e-19	1.0095926725166e-15	1	1	0.999999957635004	1	0.944658106692413	NaN	11	0	186	0
PF00107	PF00107|Zinc-binding_dehydrogenase	142	0.000565309128548111	72	4	0.243723293189836	0.771537961823937	0.628627611634006	0.999933959861587	1	0.990338827412083	1	0.999992777220163	1	NaN	1	0	3	0	76
PF00108	PF00108|Thiolase,_N-terminal_domain	56	0.00022293881125841	4	0	0	0.108688879542658	0.48827808579786	1	1	0.999999999999065	1	0.999999990763963	1	NaN	0	0	1	0	4
PF00109	PF00109|Beta-ketoacyl_synthase,_N-terminal_domain	22	8.75831044229468e-05	85	4	1.57312307422531	5.87908030253467	0.626406580722583	0.251587723891692	1	8.98921664452583e-37	1.37535014661245e-33	0.993782437802735	1	NaN	1	0	3	0	89
PF00110	PF00110|wnt_family	44	0.000175166208845894	NA	NA	NA	NA	2.94171826244048	NA	NA	NA	NA	2.53632749008617e-51	1.12283217986115e-47	NA	NA	NA	NA	NA	NA
PF00111	PF00111|2Fe-2S_iron-sulfur_cluster_binding_domain	20	7.96210040208607e-05	17	0	0	1.29339766655763	1.58148671193374	1	1	0.174996447542756	1	0.0529196367812452	1	NaN	0	0	1	0	17
PF00112	PF00112|Papain_family_cysteine_protease	97	0.000386161869501174	0	19	1.69475630161386	0	0.638869467166373	0.0209373135152267	1	1	1	0.999999000710659	1	0	NaN	1	0	19	0
PF00113	PF00113|Enolase,_C-terminal_TIM_barrel_domain	33	0.00013137465663442	NA	NA	NA	NA	0.351628694039876	NA	NA	NA	NA	0.999999999545676	1	NA	NA	NA	NA	NA	NA
PF00117	PF00117|Glutamine_amidotransferase_class-I	47	0.000187109359449023	NA	NA	NA	NA	0.503821585031428	NA	NA	NA	NA	0.9999965941399	1	NA	NA	NA	NA	NA	NA
PF00118	PF00118|TCP-1/cpn60_chaperonin_family	135	0.00053744177714081	53	0	0	0.597386286078904	0.619129605923975	1	1	0.999983155800656	1	1	1	NaN	0	0	1	0	53
PF00120	PF00120|Glutamine_synthetase,_catalytic_domain	14	5.57347028146025e-05	NA	NA	NA	NA	1.346920896027	NA	NA	NA	NA	0.0611910396052619	1	NA	NA	NA	NA	NA	NA
PF00121	PF00121|Triosephosphate_isomerase	11	4.37915522114734e-05	NA	NA	NA	NA	0.724544760861472	NA	NA	NA	NA	0.906198614621061	1	NA	NA	NA	NA	NA	NA
PF00122	PF00122|E1-E2_ATPase	209	0.000832039492017994	519	45	1.86290890368786	3.77862870218637	0.964393218067187	9.49923184827421e-05	0.149517909291836	1.97781101914488e-136	3.38799027579517e-133	0.755913148294381	1	NaN	1	0	18	0	564
PF00123	PF00123|Peptide_hormone	4	1.59242008041721e-05	NA	NA	NA	NA	13.9710665056646	NA	NA	NA	NA	5.0821654405389e-09	2.15432993024444e-05	NA	NA	NA	NA	NA	NA
PF00125	PF00125|Core_histone_H2A/H2B/H3/H4	191	0.00076038058839922	46	34	1.54017808837766	0.366469311128124	4.36080774312462	0.0109732011708996	1	1	1	1.36330112889452e-125	6.06805332470952e-122	1	NaN	6	0	80	0
PF00128	PF00128|Alpha_amylase,_catalytic_domain	49	0.000195071459851109	3	2	0.353150077887314	0.0931618967508495	1.47126041403817	0.976880623495761	1	0.999999999994307	1	0.000306898591824672	1	NaN	1	0	2	0	5
PF00129	PF00129|Class_I_Histocompatibility_antigen,_domains_alpha_1_and_2	152	0.000605119630558541	8	11	0.626144381517309	0.0800865428209057	1.51454811852777	0.962542628318198	1	1	1	1.57771833732491e-10	6.72896870869075e-07	1	NaN	5	0	19	0
PF00130	PF00130|Phorbol_esters/diacylglycerol_binding_domain_(C1_domain)	409	0.0016282495322266	368	88	1.86159307561137	1.36910784206301	0.742341596213738	7.54059307702997e-08	0.000121705172263264	5.50864072231556e-09	6.65443799255719e-06	0.999381243733669	1	NaN	1	0	13	0	456
PF00131	PF00131|Metallothionein	34	0.000135355706835463	2	19	4.83504003695719	0.0895084890351299	1.70355554460864	3.91934411924067e-08	6.33757944081217e-05	0.999999995391122	1	0.00999488538739518	1	NaN	1	0	2	0	21
PF00132	PF00132|Bacterial_transferase_hexapeptide_(six_repeats)	33	0.00013137465663442	29	0	0	1.33720257861573	0.817052061812064	1	1	0.07645860990261	1	0.741000776023636	1	NaN	0	0	1	0	29
PF00133	PF00133|tRNA_synthetases_class_I_(I,_L,_M_and_V)	99	0.00039412396990326	127	0	0	1.95200836188733	0.476641622218914	1	1	7.19531654746342e-12	9.18122391456332e-09	1	1	NaN	1	0	2	0	127
PF00134	PF00134|Cyclin,_N-terminal_domain	245	0.000975357299255544	211	0	0	1.31047734762862	0.647235620796965	1	1	9.31540093599465e-05	0.10358725840826	0.999999906457792	1	NaN	1	0	8	0	211
PF00135	PF00135|Carboxylesterase_family	85	0.000338389267088658	13	0	0	0.232722071491338	1.46079747188613	1	1	0.999999999998667	1	5.27485836160735e-14	2.2702990388358e-10	NaN	0	0	1	0	13
PF00136	PF00136|DNA_polymerase_family_B	34	0.000135355706835463	18	0	0	0.805576401316169	0.435818035333948	1	1	0.848213882125761	1	0.999999988532773	1	NaN	0	0	1	0	18
PF00137	PF00137|ATP_synthase_subunit_C	77	0.000306540865480314	10	0	0	0.197616144623014	0.469653629604564	1	1	0.999999999999238	1	0.999795951216534	1	NaN	0	0	1	0	10
PF00144	PF00144|Beta-lactamase	22	8.75831044229468e-05	NA	NA	NA	NA	0.389646263499362	NA	NA	NA	NA	0.999857560514435	1	NA	NA	NA	NA	NA	NA
PF00145	PF00145|C-5_cytosine-specific_DNA_methylase	38	0.000151279907639635	4	0	0	0.160173085641811	0.570013249549254	1	1	0.999999958205169	1	0.999976297513309	1	NaN	0	0	1	0	4
PF00147	PF00147|Fibrinogen_beta_and_gamma_chains,_C-terminal_globular_domain	109	0.000433934471913691	9	14	1.11128877720503	0.125640356168577	1.56505921283337	0.382841358360861	1	1	1	2.70911253310963e-11	1.15787469665106e-07	NaN	1	0	2	0	23
PF00149	PF00149|Calcineurin-like_phosphoesterase	199	0.000792228990007564	241	0	0	1.84279537475843	0.670536747272205	1	1	4.1410362295754e-18	5.71048896058447e-15	0.999999998956609	1	NaN	1	0	4	0	241
PF00151	PF00151|Lipase	40	0.000159242008041721	NA	NA	NA	NA	2.82273507009411	NA	NA	NA	NA	2.52034821712537e-42	1.11122152893058e-38	NA	NA	NA	NA	NA	NA
PF00152	PF00152|tRNA_synthetases_class_II_(D,_K_and_N)	34	0.000135355706835463	NA	NA	NA	NA	0.680287266600914	NA	NA	NA	NA	0.998823564918636	1	NA	NA	NA	NA	NA	NA
PF00153	PF00153|Mitochondrial_carrier_protein	1097	0.00436721207054421	979	3	0.0236613771419485	1.3579669854254	0.73619645847033	1	1	3.72312605585735e-20	5.21609960425614e-17	0.999999999999644	1	NaN	0.97226346804587	0	22	0	982
PF00155	PF00155|Aminotransferase_class_I_and_II	117	0.000465782873522035	28	0	0	0.364154194707024	0.861610049910391	1	1	0.999999999953379	1	0.993175066361888	1	NaN	0	0	1	0	28
